ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
0971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0345417623,Timeline,Michael Crichton,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0446310786,To Kill A Mockingbird,Harper Lee,1988,Little Brown & Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
0449005615,Seabiscuit: An American Legend,Laura Hillenbrand,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
0060168013,Pigs In Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
0671888587,I'Ll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
0553582747,From The Corner Of His Eye,Dean Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
0425182908,Isle Of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
042518630X,Purity In Death,J.D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
